# Standardized log format: [timestamp] [LEVEL] [component] message
# Remove obsolete error tracebacks and ensure all entries are timestamped and structured
2025-05-20 04:38:49,637 - INFO - SentimentBot - Initializing SentimentBot
2025-05-20 04:38:49,704 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:38:54,806 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:38:59,832 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:41:23,969 - INFO - SentimentBot - Initializing SentimentBot
2025-05-20 04:41:24,012 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:41:29,040 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:41:34,065 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:41:39,090 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:41:44,115 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:41:49,139 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:41:54,164 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:41:59,180 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:45:17,371 - INFO - SentimentBot - Initializing SentimentBot
2025-05-20 04:45:17,424 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:45:17,614 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:45:19,454 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:45:19,640 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:45:21,485 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
