# Standardized format: timestamp,action,coin,amount,price,portfolio_value
# Old entries filled with placeholders for missing fields
2025-05-19T23:09:24.052245,SELL,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:10:13.853271,BUY,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:10:17.860806,SELL,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:10:23.870825,BUY,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:10:27.875586,BUY,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:10:41.891848,SELL,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:10:45.897667,SELL,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:10:47.901745,SELL,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:10:51.908683,SELL,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:10:55.913632,SELL,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:10:57.917775,SELL,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:11:01.924345,BUY,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:11:09.936316,BUY,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:11:11.941110,BUY,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:11:17.948486,SELL,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:11:19.952568,BUY,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:11:23.958953,SELL,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:11:27.964922,SELL,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:11:29.968725,SELL,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:11:33.975458,BUY,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:11:35.979516,SELL,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:11:39.985162,SELL,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:11:43.991938,BUY,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:11:45.996209,BUY,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:11:48.000425,SELL,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:11:58.010252,SELL,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:12:00.014189,SELL,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:12:06.023320,SELL,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:12:12.030491,SELL,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:12:20.039731,SELL,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:12:22.043307,SELL,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:12:32.056001,SELL,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:12:36.061369,BUY,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:12:38.065510,SELL,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:12:40.069513,SELL,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:12:44.075033,SELL,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:12:52.085429,SELL,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:12:54.089480,BUY,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:13:36.996409,BUY,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:13:41.003123,BUY,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:13:49.012203,SELL,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:13:51.015083,SELL,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:14:09.035150,SELL,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:14:11.037570,BUY,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:14:15.045511,BUY,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:14:17.049134,BUY,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:14:27.061560,BUY,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:14:29.065556,SELL,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:14:31.070790,BUY,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:14:37.078801,BUY,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:14:51.097137,SELL,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:14:53.100897,SELL,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:15:01.111279,BUY,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:15:03.116813,BUY,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:15:05.122491,SELL,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:15:07.127306,BUY,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:15:09.132554,BUY,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:15:13.137895,BUY,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:15:23.150402,BUY,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:15:33.162035,SELL,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:15:47.178656,SELL,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:15:51.186544,BUY,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:15:53.191257,BUY,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:16:11.212864,SELL,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:16:17.221037,BUY,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:16:29.237261,SELL,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:16:45.256455,BUY,UNKNOWN,NaN,NaN,NaN
